Company_Name,Revenue,Net Profit,EPS,BVPS,ROE,Debt to Equity,Symbol,URL
Crown Lifters Limited,19,3,3.74,20.3,18.44,0.57,CROWN,https://www.moneycontrol.com/india/stockpricequote/diversified/crownlifters/CL08
CSB Bank Limited,2319,547,31.55,175.85,17.93,,CSBBANK,https://www.moneycontrol.com/india/stockpricequote/banks-private-sector/csbbank/CB05
CSL FiNaNce Limited,117,45,22.02,179.12,12.58,1.13,CSLFINANCE,https://www.moneycontrol.com/india/stockpricequote/finance-leasinghire-purchase/cslfinance/CSL01
City Union Bank Limited,4714,937,12.67,100.72,12.57,,CUB,https://www.moneycontrol.com/india/stockpricequote/banks-private-sector/cityunionbank/CUB
Cubex Tubings Limited,191,2,1.85,45.37,4.09,0.2,CUBEXTUB,https://www.moneycontrol.com/india/stockpricequote/metals-non-ferrous/cubextubings/CT05
Cummins India Limited,7772,1020,44.31,207.73,21.32,0.06,CUMMINSIND,https://www.moneycontrol.com/india/stockpricequote/engines/cumminsindia/CI02
Cupid Limited,159,31,23.68,125.3,18.89,0.04,CUPID,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/cupid/CR02
Cyber Media (India) Limited,78,4,3.18,0.79,-87.85,-2.26,CYBERMEDIA,https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/cybermediaindia/CMI01
Cybertech Systems And Software Limited,176,21,7.64,56.34,13.52,0.01,CYBERTECH,https://www.moneycontrol.com/india/stockpricequote/computers-software-mediumsmall/cybertechsystemssoftware/CSS
Dabur India Limited,11529,1702,9.64,53.29,19.02,0.11,DABUR,https://www.moneycontrol.com/india/stockpricequote/personal-care/daburindia/DI
Dalmia Bharat Sugar and Industries Limited,3252,248,30.9,334.15,9.24,0.17,DALMIASUG,https://www.moneycontrol.com/india/stockpricequote/sugar/dalmiabharatsugarindustries/DCB
Damodar Industries Limited,682,0,0.34,49.34,0.69,2.3,DAMODARIND,https://www.moneycontrol.com/india/stockpricequote/textiles-spinning-synthetic-blended/damodarindustries/DT
Dangee Dums Limited,25,0,-0.04,1.11,-3.66,0.75,DANGEE,https://www.moneycontrol.com/india/stockpricequote/consumer-food/dangeedums/DD
Datamatics Global Services Limited,1459,185,32.05,176.51,18.03,0,DATAMATICS,https://www.moneycontrol.com/india/stockpricequote/computers-software-mediumsmall/datamaticsglobalservices/DGS01
Data Patterns (India) Limited,453,124,23.8,208.41,10.62,0,DATAPATTNS,https://www.moneycontrol.com/india/stockpricequote/aerospacedefence/datapatternsindia/DPI01
D.B.Corp Limited,2129,169,9.53,109.45,8.68,0.02,DBCORP,https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/dbcorp/C13
Dilip Buildcon Limited,10643,-1,-0.1,273.46,0.02,1.66,DBL,https://www.moneycontrol.com/india/stockpricequote/constructioncontracting-civil/dilipbuildcon/DB04
Dhampur Bio Organics Limited,2407,111,16.74,148.93,11.23,0.81,DBOL,https://www.moneycontrol.com/india/stockpricequote/sugar/dhampurbioorganics/DBO
DB (International) Stock Brokers Limited,29,6,1.82,16.34,11.14,0.02,DBSTOCKBRO,https://www.moneycontrol.com/india/stockpricequote/finance-general/dbinternationalstockbrokers/DBI
Dishman Carbogen Amcis Limited,2412,-29,-1.9,370.51,-0.51,0.31,DCAL,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/dishmancarbogenamcis/DCA
DCB Bank Limited,4200,466,14.96,137.05,10.9,,DCBBANK,https://www.moneycontrol.com/india/stockpricequote/banks-private-sector/dcbbank/DCB01
Dc Infotech And Communication Limited,359,7,5.9,24.61,23.96,0.8,DCI,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/dcinfotechcommunication/DCI16041
DCM FiNaNcial Services Limited,0,-4,-2.19,-21.61,0,-1.54,DCMFINSERV,https://www.moneycontrol.com/india/stockpricequote/finance-leasinghire-purchase/dcmfinancial/DCM01
DCM Nouvelle Limited,864,11,6.24,174.62,3.85,0.83,DCMNVL,https://www.moneycontrol.com/india/stockpricequote/textiles/dcmnouvellelimited/DCMNV54272
DCM Shriram Limited,11546,910,58.41,395.14,14.7,0.26,DCMSHRIRAM,https://www.moneycontrol.com/india/stockpricequote/diversified/dcmshriram/DCM02
DCM Shriram Industries Limited,2350,59,6.92,82.38,8.39,0.69,DCMSRIND,https://www.moneycontrol.com/india/stockpricequote/sugar/dcmshriramindustries/DCM03
DCW Limited,2633,191,6.5,34.73,18.72,0.49,DCW,https://www.moneycontrol.com/india/stockpricequote/petrochemicals/dcw/DCW
DCX Systems Limited,1253,72,8.47,58.63,12.69,0.89,DCXINDIA,https://www.moneycontrol.com/india/stockpricequote/electronics-components/dcxsystems/DS11
Deccan Cements Limited,781,49,35.19,490.77,7.17,0.39,DECCANCE,https://www.moneycontrol.com/india/stockpricequote/cement-mini/deccancements/DC
Deepak Fertilizers and Petrochemicals Corporation Limited,11300,1220,97.7,411.38,23.88,0.71,DEEPAKFERT,https://www.moneycontrol.com/india/stockpricequote/fertilisers/deepakfertiliserspetrochemicalscorporation/DFP
Deepak Nitrite Limited,7972,852,62.46,299.85,20.83,0.01,DEEPAKNTR,https://www.moneycontrol.com/india/stockpricequote/chemicals/deepaknitrite/DN
Deep Industries Limited,341,125,19.58,429.62,9.17,0.05,DEEPINDS,https://www.moneycontrol.com/india/stockpricequote/oil-explorationproduction/deepindustries/DI02
DELPHI WORLD MONEY LIMITED,84,15,13.52,185.75,7.27,0,DELPHIFX,https://www.moneycontrol.com/india/stockpricequote/finance-investments/delphiworldmoney/WF02
Delta Manufacturing Limited,79,-16,-15.65,34.59,-44.58,1.07,DELTAMAGNT,https://www.moneycontrol.com/india/stockpricequote/electricals/deltamanufacturing/DM04
Den Networks Limited,1130,236,5.09,68.3,7.57,0,DEN,https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/dennetworks/DN02
De Nora India Limited,73,20,38.19,191.53,19.94,0,DENORA,https://www.moneycontrol.com/india/stockpricequote/electric-equipment/denoraindia/DNI
Dev Information Technology Limited,124,9,4.08,18.81,21.6,0.17,DEVIT,https://www.moneycontrol.com/india/stockpricequote/computers-software/devinformationtechnology/DIT02
Devyani International Limited,2668,246,2.04,9.55,21.38,0,DEVYANI,https://www.moneycontrol.com/india/stockpricequote/consumer-food/devyaniinternational/DI06
Digicontent Limited,349,-12,-2.21,-1.02,0,-12.61,DGCONTENT,https://www.moneycontrol.com/india/stockpricequote/printingstationery/digicontent/DGCON54268
Dhampur Sugar Mills Limited,2874,157,23.8,157.13,15.1,0.7,DHAMPURSUG,https://www.moneycontrol.com/india/stockpricequote/sugar/dhampursugarmills/DSM
Dhanlaxmi Bank Limited,1071,49,1.95,31.66,6.16,,DHANBANK,https://www.moneycontrol.com/india/stockpricequote/banks-private-sector/dhanlaxmibank/DB01
Dhanuka Agritech Limited,1700,233,50.35,232.85,22,0,DHANUKA,https://www.moneycontrol.com/india/stockpricequote/pesticidesagro-chemicals/dhanukaagritech/DA01
Dhruv Consultancy Services Limited,81,4,3.28,36.82,8.67,0.24,DHRUV,https://www.moneycontrol.com/india/stockpricequote/constructioncontracting-real-estate/dhruvconsultancyservices/DCS01
Dhunseri Investments Limited,242,-130,480.16,5071.7,12.89,0.15,DHUNINV,https://www.moneycontrol.com/india/stockpricequote/finance-general/dhunseriinvestments/DI27
Prataap Snacks Limited,1652,20,8.49,275.41,3.13,0,DIAMONDYD,https://www.moneycontrol.com/india/stockpricequote/food-processing/prataapsnacks/PS20
Digjam Limited,33,-12,-6.1,14.03,-43.49,1.65,DIGJAMLMTD,https://www.moneycontrol.com/india/stockpricequote/textiles-woollenworsted/digjam/D05
Debock Industries Limited,146,12,1.79,10.8,15.58,0.15,DIL,https://www.moneycontrol.com/india/stockpricequote/diversified/debockindustries/DSM03
Divgi Torqtransfer Systems Limited,271,51,18.45,180.26,9.28,0,DIVGIITTS,https://www.moneycontrol.com/india/stockpricequote/engineering/divgitorqtransfersystems/DTS
Divi's Laboratories Limited,7767,1823,68.69,480.96,14.28,0,DIVISLAB,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/divislaboratories/DL03
DJ Mediaprint & Logistics Limited,50,3,3.07,26.42,11.63,0.38,DJML,https://www.moneycontrol.com/india/stockpricequote/media/djmediaprintlogistics/DML03
DLF Limited,5694,1100,8.22,152.27,5.4,0.08,DLF,https://www.moneycontrol.com/india/stockpricequote/constructioncontracting-real-estate/dlf/D04
D-Link (India) Limited,1180,86,24.32,106.58,22.82,0,DLINKINDIA,https://www.moneycontrol.com/india/stockpricequote/computers-hardware/d-linkindia/DLI01
Avenue Supermarts Limited,42839,2378,36.72,248.02,14.79,0,DMART,https://www.moneycontrol.com/india/stockpricequote/retail/avenuesupermarts/AS19
DMCC SPECIALITY CHEMICALS LIMITED,384,6,2.78,79.49,3.49,0.41,DMCC,https://www.moneycontrol.com/india/stockpricequote/speciality-chemicals/dmccspecialitychemicals/DMC01
Diligent Media Corporation Limited,9,95,13.65,-33.49,-40.76,-1.11,DNAMEDIA,https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/diligentmediacorporationltd/DMC05
Dodla Dairy Limited,2584,94,15.97,148.44,10.75,0,DODLA,https://www.moneycontrol.com/india/stockpricequote/consumer-food/dodladairy/DD01
Dollar Industries Limited,1393,57,9.26,124.97,7.42,0.23,DOLLAR,https://www.moneycontrol.com/india/stockpricequote/textiles-readymade-apparels/dollarindustries/DI29
Donear Industries Limited,825,36,6.97,32.9,21.18,2.07,DONEAR,https://www.moneycontrol.com/india/stockpricequote/textiles-weaving/donearindustries/DI25
D. P. Abhushan Limited,1975,45,20.33,81.36,25.02,0.6,DPABHUSHAN,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/dpabhushan/DPA01
DPSC Limited,623,17,0.1,9.71,1.67,0.3,DPSCLTD,https://www.moneycontrol.com/india/stockpricequote/power-generationdistribution/dpsc/DPS
D P Wires Limited,1215,41,30.23,141.12,21.42,0.01,DPWIRES,https://www.moneycontrol.com/india/stockpricequote/consumer-goods-electronic/dpwires/W01
DRC Systems India Limited,21,4,1.03,7.22,13.24,0,DRCSYSTEMS,https://www.moneycontrol.com/india/stockpricequote/software/drcsystemsindia/DSI02
Dreamfolks Services Limited,773,72,13.88,29.99,46.28,0.01,DREAMFOLKS,https://www.moneycontrol.com/india/stockpricequote/aerospacedefence/dreamfolksservices/DS09
Dredging Corporation of India Limited,1164,12,5.42,508.06,0.88,0.2,DREDGECORP,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/dredgingcorporationindia/DCI
Dr. Reddy's Laboratories Limited,24669,4470,271.47,1397.73,19.35,0.05,DRREDDY,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/drreddyslaboratories/DRL
DS Kulkarni Developers Limited,0,-48,-18.87,82.87,-22.76,3.9,DSKULKARNI,https://www.moneycontrol.com/india/stockpricequote/constructioncontracting-housing/dskulkarnidevelopers/DSK
Dynacons Systems & Solutions Limited,804,33,27.78,82.53,31.93,0.62,DSSL,https://www.moneycontrol.com/india/stockpricequote/computers-software-mediumsmall/dynaconssystemssolutions/DSS01
Dhunseri Tea & Industries Limited,337,-23,-22.64,663.43,-3.41,0.25,DTIL,https://www.moneycontrol.com/india/stockpricequote/plantations-teacoffee/dhunseriteaindustries/DTI03
Ducon Infratechnologies Limited,395,4,0.16,4.71,3.34,0.78,DUCON,https://www.moneycontrol.com/india/stockpricequote/computers-software/duconinfratechnologies/DT9
Dhunseri Ventures Limited,231,-127,154.88,754.04,20.56,0.13,DVL,https://www.moneycontrol.com/india/stockpricequote/petrochemicals/dhunseriventures/DTI
Dwarikesh Sugar Industries Limited,2102,104,5.57,39.29,14.16,0.5,DWARKESH,https://www.moneycontrol.com/india/stockpricequote/sugar/dwarikeshsugarindustries/DSI01
Dynamic Cables Limited,668,31,14.09,80.6,17.47,0.46,DYCL,https://www.moneycontrol.com/india/stockpricequote/cables-powerothers/dynamiccables/DC13
Dynamatic Technologies Limited,1315,42,67.32,798.19,7.89,1.14,DYNAMATECH,https://www.moneycontrol.com/india/stockpricequote/pumps/dynamatictechnologies/DT05
Dynemic Products Limited,295,-2,-2.57,156.57,-1.6,0.81,DYNPRO,https://www.moneycontrol.com/india/stockpricequote/dyespigments/dynemicproducts/DP12
E2E Networks Limited,66,9,6.85,34.13,20.06,0.01,E2E,https://www.moneycontrol.com/india/stockpricequote/it-servicesconsulting/e2enetworks/EN
Easy Trip Planners Limited,429,146,0.84,2.23,37.95,0.17,EASEMYTRIP,https://www.moneycontrol.com/india/stockpricequote/travel-services/easytripplanners/ETP01
Eastern Silk Industries Limited,38,-14,-1.83,-5.47,0,-3.05,EASTSILK,https://www.moneycontrol.com/india/stockpricequote/textiles-syntheticsilk/easternsilkindustries/ESI06
eClerx Services Limited,2647,489,98.76,357.36,28.5,0,ECLERX,https://www.moneycontrol.com/india/stockpricequote/computers-software-mediumsmall/eclerxservices/eS06
Edelweiss FiNaNcial Services Limited,8481,273,3.83,87.34,5.1,3.22,EDELWEISS,https://www.moneycontrol.com/india/stockpricequote/finance-general/edelweissfinancialservices/EC01
EID Parry India Limited,35243,1865,53.39,537.41,15.57,0.2,EIDPARRY,https://www.moneycontrol.com/india/stockpricequote/sugar/eidparryindia/EID
Euro India Fresh Foods Limited,142,1,0.49,26,1.87,0.6,EIFFL,https://www.moneycontrol.com/india/stockpricequote/food-processing/euroindiafreshfoods/EIF
EIH Associated Hotels Limited,337,64,21.21,130.16,16.29,0,EIHAHOTELS,https://www.moneycontrol.com/india/stockpricequote/hotels/eihassociatedhotels/EIH01
EIH Limited,2018,319,5.19,55.52,9.32,0.02,EIHOTEL,https://www.moneycontrol.com/india/stockpricequote/hotels/eih/EIH
Eimco Elecon (India) Limited,172,19,33.85,608.02,5.56,0,EIMCOELECO,https://www.moneycontrol.com/india/stockpricequote/engineering-heavy/eimcoeleconindia/EEI
Everest Kanto Cylinder Limited,1274,75,6.79,89.08,7.62,0.1,EKC,https://www.moneycontrol.com/india/stockpricequote/packaging/everestkantocylinder/EKC
Elecon Engineering Company Limited,1529,234,21.17,114,18.56,0,ELECON,https://www.moneycontrol.com/india/stockpricequote/engineering-heavy/eleconengineeringcompany/EEC
Electrosteel Castings Limited,7275,316,5.31,73.73,7.2,0.6,ELECTCAST,https://www.moneycontrol.com/india/stockpricequote/castingsforgings/electrosteelcastings/EC02
Electrotherm (India) Limited,3074,-11,-9.28,-860.45,0,-1.81,ELECTHERM,https://www.moneycontrol.com/india/stockpricequote/engineering/electrothermindia/EI02
Elgi Equipments Limited,3040,368,11.72,43.27,27.04,0.37,ELGIEQUIP,https://www.moneycontrol.com/india/stockpricequote/compressors/elgiequipments/EE01
Elgi Rubber Company Limited,394,6,1.35,36.77,3.66,1.47,ELGIRUBCO,https://www.moneycontrol.com/india/stockpricequote/tyres/elgirubbercompany/ERC01
Emami Limited,3405,634,14.5,52.43,27.77,0.03,EMAMILTD,https://www.moneycontrol.com/india/stockpricequote/personal-care/emami/E06
Emami Paper Mills Limited,2308,69,10.62,75.24,15.19,1.89,EMAMIPAP,https://www.moneycontrol.com/india/stockpricequote/paper/emamipapermills/EPM01
Electronics Mart India Limited,5445,122,3.63,30.78,10.36,0.61,EMIL,https://www.moneycontrol.com/india/stockpricequote/domestic-appliances/electronicsmartindia/EMI
Emmbi Industries Limited,371,8,4.67,90.83,5.14,0.91,EMMBI,https://www.moneycontrol.com/india/stockpricequote/packaging/emmbiindustries/EP09
EMS Limited,1253,72,8.47,58.63,12.69,0.89,EMSLIMITED,https://www.moneycontrol.com/india/stockpricequote/engineering-construction/ems/E15
eMudhra Limited,164,19,2.6,40.95,6.24,0,EMUDHRA,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/emudhra/e13
Endurance Technologies Limited,8804,479,34.09,313.67,10.86,0.11,ENDURANCE,https://www.moneycontrol.com/india/stockpricequote/auto-23-wheelers/endurancetechnologies/ET01
Energy Development Company Limited,37,4,0.89,20.38,4.07,1.53,ENERGYDEV,https://www.moneycontrol.com/india/stockpricequote/power-generationdistribution/energydevelopmentcompany/EDC
Engineers India Limited,3330,344,6.16,34.9,17.65,0,ENGINERSIN,https://www.moneycontrol.com/india/stockpricequote/engineering/engineersindia/EI14
Entertainment Network (India) Limited,439,-6,-2.21,156.56,-1.44,0,ENIL,https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/entertainmentnetworkindia/ENI
EPL Limited,3694,233,7.15,62.67,11.39,0.39,EPL,https://www.moneycontrol.com/india/stockpricequote/packaging/epl/EP11
Equippp Social Impact Technologies Limited,1,0,0.03,0.68,3.84,0.2,EQUIPPP,https://www.moneycontrol.com/india/stockpricequote/it-servicesconsulting/equipppsocialimpacttechnologies/NT02
Equitas Small FiNaNce Bank Limited,4161,574,4.71,46.44,11.12,,EQUITASBNK,https://www.moneycontrol.com/india/stockpricequote/bank-private/equitassmallfinancebank/ESF
Eros International Media Limited,680,-119,-12.48,108.09,-11.34,0.18,EROSMEDIA,https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/erosinternationalmedia/EIM
Esab India Limited,1090,135,88.16,169.12,52.13,0,ESABINDIA,https://www.moneycontrol.com/india/stockpricequote/electrodesgraphite/esabindia/EI06
ESAF Small FiNaNce Bank Limited,2853,302,6.73,38.16,17.62,,ESAFSFB,https://www.moneycontrol.com/india/stockpricequote/bank-private/esafsmallfinancebank/ESF02
Escorts Kubota Limited,8428,644,58.85,620.19,7.77,0,ESCORTS,https://www.moneycontrol.com/india/stockpricequote/automobile-tractors/escortskubota/E
Essar Shipping Limited,60,1650,79.74,-126.76,-60.18,-0.99,ESSARSHPNG,https://www.moneycontrol.com/india/stockpricequote/shipping/essarshipping/ES10
Integra Essentia Limited,241,6,0.14,1.65,8.76,0.38,ESSENTIA,https://www.moneycontrol.com/india/stockpricequote/textilesapparel/integraessentia/IGT
Ester Industries Limited,1114,11,16.42,89.15,18.41,1.1,ESTER,https://www.moneycontrol.com/india/stockpricequote/packaging/esterindustries/EI20
Ethos Limited,788,59,26.34,270.32,9.47,0.01,ETHOSLTD,https://www.moneycontrol.com/india/stockpricequote/watchesaccessories/ethos/E12
Eurotex Industries and Exports Limited,5,-2,-2.93,-23.19,0,-1.63,EUROTEXIND,https://www.moneycontrol.com/india/stockpricequote/textiles-spinning-cotton-blended/eurotexindustriesexports/EIE
Eveready Industries India Limited,1327,27,3.8,43.95,8.64,1.17,EVEREADY,https://www.moneycontrol.com/india/stockpricequote/dry-cells/evereadyindustriesindia/EII02
Everest Industries Limited,1647,42,26.98,369.5,7.28,0.11,EVERESTIND,https://www.moneycontrol.com/india/stockpricequote/cement-productsbuilding-materials/everestindustries/EI19
Excel Realty N Infra Limited,6,0,-0.01,1.22,-0.19,0,EXCEL,https://www.moneycontrol.com/india/stockpricequote/computers-software-mediumsmall/excelrealtyninfra/EI07
Excel Industries Limited,1089,79,63.59,987.82,6.43,0,EXCELINDUS,https://www.moneycontrol.com/india/stockpricequote/chemicals/excelindustries/EI10
Expleo Solutions Limited,903,133,86.27,512.06,25.5,0,EXPLEOSOL,https://www.moneycontrol.com/india/stockpricequote/computers-software/expleosolutions/TGS01
Exxaro Tiles Limited,317,7,1.63,61.26,2.66,0.34,EXXARO,https://www.moneycontrol.com/india/stockpricequote/ceramicsmarblegranitesanitaryware/exxarotiles/ET02
Fertilizers and Chemicals Travancore Limited,6198,612,9.47,19.69,48.11,1.42,FACT,https://www.moneycontrol.com/india/stockpricequote/fertilisers/fertiliserschemicalstravancore/FCT
Fairchem Organics Limited,648,43,33.41,199.11,16.77,0.19,FAIRCHEMOR,https://www.moneycontrol.com/india/stockpricequote/speciality-chemicals/fairchemorganics/FO01
Faze Three Limited,558,58,23.97,114.47,20.94,0.58,FAZE3Q,https://www.moneycontrol.com/india/stockpricequote/textiles-spinning-cotton-blended/fazethree/FTE
Fineotex Chemical Limited,517,89,7.97,32.12,25.32,0.02,FCL,https://www.moneycontrol.com/india/stockpricequote/speciality-chemicals/fineotexchemical/FC02
FCS Software Solutions Limited,34,1,0.01,1.34,0.63,0.08,FCSSOFT,https://www.moneycontrol.com/india/stockpricequote/computers-software-mediumsmall/fcssoftwaresolutions/FCS
FDC Limited,1783,193,11.66,119.43,9.78,0,FDC,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/fdc/FDC
Fedders Electric and Engineering Limited,114,22,7.62,46.28,16.46,0.23,FEDDERELEC,https://www.moneycontrol.com/india/stockpricequote/consumer-goods-white-goods/fedderselectricengineering/FL
The Federal Bank  Limited,17811,3176,15.01,104.51,14.3,,FEDERALBNK,https://www.moneycontrol.com/india/stockpricequote/banks-private-sector/federalbank/FB
Fiberweb (India) Limited,66,0,-0.1,53.51,-0.19,0.04,FIBERWEB,https://www.moneycontrol.com/india/stockpricequote/plastics/fiberwebindia/PVD
Fiem Industries Limited,1848,139,106.26,578.4,18.37,0,FIEMIND,https://www.moneycontrol.com/india/stockpricequote/auto-ancillaries/fiemindustries/FIE
Filatex India Limited,4303,89,2.02,24.81,8.17,0.27,FILATEX,https://www.moneycontrol.com/india/stockpricequote/textiles-manmade/filatexindia/FI06
Finolex Cables Limited,4481,434,32.97,285.74,11.53,0,FINCABLES,https://www.moneycontrol.com/india/stockpricequote/cables-telephone/finolexcables/FC01
Fine Organic Industries Limited,3023,619,201.6,502.69,40.1,0.02,FINEORG,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/fineorganicsindustries/FOI
Fino Payments Bank Limited,94,65,7.82,66.4,11.77,,FINOPB,https://www.moneycontrol.com/india/stockpricequote/finance-others/finopaymentsbank/FPB
Five-Star Business FiNaNce Limited,1502,603,20.71,148.94,13.9,0.98,FIVESTAR,https://www.moneycontrol.com/india/stockpricequote/finance-nbfc/five-starbusinessfinance/FBF
Flexituff Ventures International Limited,915,-126,-48.05,-25.81,0,-10.68,FLEXITUFF,https://www.moneycontrol.com/india/stockpricequote/packaging/flexituffventuresinternational/FI08
Gujarat Fluorochemicals Limited,5684,1323,120.44,502.57,24.06,0.27,FLUOROCHEM,https://www.moneycontrol.com/india/stockpricequote/chemicals/gujaratfluorochemicalslimited/GUJAR54281
Focus Lighting and Fixtures Limited,168,22,18.03,68.92,25.75,0.03,FOCUS,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/focuslightingfixtures/FLF03
Foods & Inns Limited,995,47,9.31,61.32,15.17,1.08,FOODSIN,https://www.moneycontrol.com/india/stockpricequote/food-processing/foodsinns/FI10
Firstsource Solutions Limited,6022,513,7.55,48.31,15.25,0.25,FSL,https://www.moneycontrol.com/india/stockpricequote/computers-software-mediumsmall/firstsourcesolutions/FS07
Fusion Micro FiNaNce Limited,1741,387,43.29,231.39,16.67,2.92,FUSION,https://www.moneycontrol.com/india/stockpricequote/finance-nbfc/fusionmicrofinance/FMF
Gabriel India Limited,2971,132,9.21,60.59,15.2,0,GABRIEL,https://www.moneycontrol.com/india/stockpricequote/auto-ancillaries/gabrielindia/GI02
GAIL (India) Limited,145668,4087,8.52,99.02,8.64,0.25,GAIL,https://www.moneycontrol.com/india/stockpricequote/oil-drillingexploration/gailindia/GAI
Galaxy Surfactants Limited,4445,380,107.46,531.04,20.23,0.14,GALAXYSURF,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/galaxysurfactantsltd/GSL06
Gallantt Ispat Limited,4034,140,5.84,92.22,6.33,0.24,GALLANTT,https://www.moneycontrol.com/india/stockpricequote/ironsteel/gallanttispat/GM02
Gandhi Special Tubes Limited,167,47,38.95,149.85,25.99,0,GANDHITUBE,https://www.moneycontrol.com/india/stockpricequote/steel-tubespipes/gandhispecialtubes/GST
Ganesha Ecosphere Limited,1179,69,31.82,292.21,10.88,0.79,GANECOS,https://www.moneycontrol.com/india/stockpricequote/textiles-processing/ganeshaecosphere/GP01
Ganesh Housing Corporation Limited,616,102,12,141.25,9.2,0,GANESHHOUC,https://www.moneycontrol.com/india/stockpricequote/constructioncontracting-housing/ganeshhousingcorporation/GHC02
Ganga Forging Limited,33,1,0.16,1.26,12.42,1.07,GANGAFORGE,https://www.moneycontrol.com/india/stockpricequote/auto-ancillaries-castingsforgings/gangaforging/GF
Garware Technical Fibres Limited,1305,172,83.54,498.77,16.94,0.13,GARFIBRES,https://www.moneycontrol.com/india/stockpricequote/textiles-general/garwaretechnicalfibres/GWR
Gateway Distriparks Limited,1396,235,4.72,34.87,13.53,0.23,GATEWAY,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/gatewaydistriparks/GD01
GeeCee Ventures Limited,40,11,5.55,269.16,2.07,0,GEECEE,https://www.moneycontrol.com/india/stockpricequote/construction-real-estate/geeceeventures/GCI05
Geekay Wires Limited,399,24,23.37,65.97,35.43,1.34,GEEKAYWIRE,https://www.moneycontrol.com/india/stockpricequote/consumer-goods-electronic/geekaywires/GW01
Generic Engineering Construction and Projects Limited,272,15,3.58,47.49,6.07,0.25,GENCON,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/genericengineeringconstructionprojects/WPF
Genesys International Corporation Limited,181,14,5.44,107.93,4.7,0.08,GENESYS,https://www.moneycontrol.com/india/stockpricequote/computers-software-mediumsmall/genesysinternationalcorporation/GIC10
Gensol Engineering Limited,365,26,23,168.4,12.94,2.53,GENSOL,https://www.moneycontrol.com/india/stockpricequote/engineering-industrial-equipments/gensolengineering/GE07
Genus Paper & Boards Limited,723,-11,-0.46,18.14,-2.52,0.61,GENUSPAPER,https://www.moneycontrol.com/india/stockpricequote/paper/genuspaperboards/GPB
Genus Power Infrastructures Limited,808,29,1.26,42.61,2.95,0.35,GENUSPOWER,https://www.moneycontrol.com/india/stockpricequote/electricals/genuspowerinfrastructures/GPI08
Geojit FiNaNcial Services Limited,439,96,4.06,33.36,13.44,0.11,GEOJITFSL,https://www.moneycontrol.com/india/stockpricequote/finance-general/geojitfinancialservices/GBN01
GE Power India Limited,1795,-443,-65.54,34.59,-189.48,1.25,GEPIL,https://www.moneycontrol.com/india/stockpricequote/power-transmissionequipment/gepowerindia/AP29
The Great Eastern Shipping Company Limited,5690,2575,180.36,719.71,25.06,0.35,GESHIP,https://www.moneycontrol.com/india/stockpricequote/shipping/greateasternshippingcompany/GES
GFL Limited,3,2313,203.46,236.85,86.41,0,GFLLIMITED,https://www.moneycontrol.com/india/stockpricequote/finance-others/gfl/GF07
Gujarat Heavy Chemicals Limited,4545,1115,120.06,413.83,28.85,0.09,GHCL,https://www.moneycontrol.com/india/stockpricequote/chemicals/gujaratheavychemicals/GHC
GHCL Textiles Limited,0,0,-1.37,-0.76,0,0,GHCLTEXTIL,https://www.moneycontrol.com/india/stockpricequote/textiles/ghcltextiles/GT11
GIC Housing FiNaNce Limited,1114,213,39.6,315.39,12.54,5.38,GICHSGFIN,https://www.moneycontrol.com/india/stockpricequote/finance-housing/gichousingfinance/GIC
Gillanders Arbuthnot & Company Limited,449,14,6.95,129.69,5.35,0.48,GILLANDERS,https://www.moneycontrol.com/india/stockpricequote/diversified/gillandersarbuthnotco/GAC03
Gillette India Limited,2477,355,109.15,303.42,35.96,0,GILLETTE,https://www.moneycontrol.com/india/stockpricequote/personal-care/gilletteindia/GI22
Ginni Filaments Limited,953,-14,-1.67,32.56,-5.13,0.92,GINNIFILA,https://www.moneycontrol.com/india/stockpricequote/textiles-spinning-cotton-blended/ginnifilaments/GF01
Gujarat Industries Power Company Limited,1355,188,12.48,208.55,5.98,0.15,GIPCL,https://www.moneycontrol.com/india/stockpricequote/power-generationdistribution/gujaratindustriespowerco/GIP
GKW Limited,20,8,14.71,3698.7,0.39,0,GKWLIMITED,https://www.moneycontrol.com/india/stockpricequote/fasteners/gkw/GKW
Gland Pharma Limited,3616,775,47.12,482.9,9.75,0,GLAND,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticalsdrugs/glandpharma/GP14
